user_id,email,forname,family_name,house_id
x4y5z6a7-b8c9-0123-xyza-456789012345,aurelie.sauthier@hevs.ch,Aurelie,Sauthier,550e8400-e29b-41d4-a716-446655440004
y5z6a7b8-c9d0-1234-yzab-567890123456,camille.crettaz@hevs.ch,Camille,Crettaz,550e8400-e29b-41d4-a716-446655440001
z6a7b8c9-d0e1-2345-zabc-678901234567,camille.fellay@hevs.ch,Camille,Fellay,550e8400-e29b-41d4-a716-446655440002
a7b8c9d0-e1f2-3456-abcd-789012345678,camille.giroud@hevs.ch,Camille,Giroud,550e8400-e29b-41d4-a716-446655440003
b8c9d0e1-f2g3-4567-bcde-890123456789,camille.sauthier@hevs.ch,Camille,Sauthier,550e8400-e29b-41d4-a716-446655440004
c9d0e1f2-g3h4-5678-cdef-901234567890,celine.crettaz@hevs.ch,Celine,Crettaz,550e8400-e29b-41d4-a716-446655440001
d0e1f2g3-h4i5-6789-defg-012345678901,celine.fellay@hevs.ch,Celine,Fellay,550e8400-e29b-41d4-a716-446655440002
e1f2g3h4-i5j6-7890-efgh-123456789012,celine.giroud@hevs.ch,Celine,Giroud,550e8400-e29b-41d4-a716-446655440003
f2g3h4i5-j6k7-8901-fghi-234567890123,celine.sauthier@hevs.ch,Celine,Sauthier,550e8400-e29b-41d4-a716-446655440004
g3h4i5j6-k7l8-9012-ghij-345678901234,charlotte.crettaz@hevs.ch,Charlotte,Crettaz,550e8400-e29b-41d4-a716-446655440001
h4i5j6k7-l8m9-0123-hijk-456789012345,charlotte.fellay@hevs.ch,Charlotte,Fellay,550e8400-e29b-41d4-a716-446655440002
i5j6k7l8-m9n0-1234-ijkl-567890123456,charlotte.giroud@hevs.ch,Charlotte,Giroud,550e8400-e29b-41d4-a716-446655440003
j6k7l8m9-n0o1-2345-jklm-678901234567,charlotte.sauthier@hevs.ch,Charlotte,Sauthier,550e8400-e29b-41d4-a716-446655440004
k7l8m9n0-o1p2-3456-klmn-789012345678,chloe.crettaz@hevs.ch,Chloe,Crettaz,550e8400-e29b-41d4-a716-446655440001
l8m9n0o1-p2q3-4567-lmno-890123456789,chloe.fellay@hevs.ch,Chloe,Fellay,550e8400-e29b-41d4-a716-446655440002
m9n0o1p2-q3r4-5678-mnop-901234567890,chloe.giroud@hevs.ch,Chloe,Giroud,550e8400-e29b-41d4-a716-446655440003
n0o1p2q3-r4s5-6789-nopq-012345678901,chloe.sauthier@hevs.ch,Chloe,Sauthier,550e8400-e29b-41d4-a716-446655440004
